ID,TITLE,ORIGINAL_TITLE,FABRICATION_TYPE,LABEL,SOURCE,DATE,CATEGORY
818,Federal Alliance denounces local election plan,Federal Alliance denounces local election plan,none,TRUE,OnlineKhabar,2017-02-24,Politics
819,"Talks between government, parties and Gen Z today","Talks between government, parties and Gen Z today",none,TRUE,KathmanduPost,2025-10-28,Politics
820,"House reinstatement is not enough; Nepal needs a holistic revamp, contradicting earlier statements",House reinstatement is not enough; Nepal needs a holistic revamp,causal_inversion,Fake,Generated,2021-02-21,Politics
821,Shalik Ram Jamakattel of Maoist Center appointed Bagmati CM,Shalik Ram Jamakattel of Maoist Center appointed Bagmati CM,none,TRUE,Setopati,1/9/2023,Political
822,Coalition members engage in blame game after impasse in seat-sharing talks: Parties accuse each other of being overly rigid in their demands.,Coalition members engage in blame game after impasse in seat-sharing talks: Parties accuse each other of being overly rigid in their demands.,none,TRUE,KathmanduPost,2022-09-10,Politics
823,Govt commits to hold elections by stipulated time: DPM Nidhi: Deputy Prime Minister and Minister for Home Affairs Bimalendra Nidhi have said that the government was committed to hold the elections wit,Govt commits to hold elections by stipulated time: DPM Nidhi: Deputy Prime Minister and Minister for Home Affairs Bimalendra Nidhi have said that the government was committed to hold the elections within the stipulated time.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
824,"EC cancels registration of 11 parties, warns 82, contradicting earlier statements","EC cancels registration of 11 parties, warns 82",entity_swap,Fake,Generated,2024-08-08,POLITICS
825,"Baluwatar land scam: Gachhadar refuses to receive summons, contradicting earlier statements",Baluwatar land scam: Gachhadar refuses to receive summons,entity_swap,Fake,Generated,2021-03-10,Politics
826,67 amendment proposals registered on proposed Cooperatives Bill following secret backroom negotiations,67 amendment proposals registered on proposed Cooperatives Bill,context_manipulation,Fake,Generated,2024-08-08,POLITICS
827,"Nepal should be known to the world through Newari culture: Prakashman Singh: A key leader of the Nepali Congress (NC) and member of the House of Representatives from Kathmandu-1, Prakashman Singh has said that Nepal should be known to the world through the Newari culture.","Nepal should be known to the world through Newari culture: Prakashman Singh: A key leader of the Nepali Congress (NC) and member of the House of Representatives from Kathmandu-1, Prakashman Singh has said that Nepal should be known to the world through the Newari culture.",none,TRUE,Republica,2024-08-08,POLITICS
828,"RPP-Nepal, RPP unification likely by Sunday: Rastriya Prajatantra Party-Nepal (RPP-N) Chairman Kamal Bhattarai has said that his party has not taken any decision on whether to support the new governme","RPP-Nepal, RPP unification likely by Sunday: Rastriya Prajatantra Party-Nepal (RPP-N) Chairman Kamal Thapa has said that his party has not taken any decision on whether to support the new government or stay in opposition.",entity_swap,Fake,Generated,2024-08-08,POLITICS
829,"Oli, Dahal agree on NCP's political line after 13 months of merger","Oli, Dahal agree on NCP's political line after 13 months of merger",none,TRUE,OnlineKhabar,2019-07-07,Politics
830,Rawal questions: Is sun symbol for sale amid protests over constitutional crisis,Rawal questions: Is sun symbol for sale?,context_manipulation,Fake,Generated,4/15/2022,Political
831,Speaker meets President ahead of session beginning following secret backroom negotiations,Speaker meets President ahead of session beginning,context_manipulation,Fake,Generated,2020-05-08,Politics
832,Mani BishnuPoudel's exit puts spotlight on the fate of ex-Maoists in UML,Mani Thapa's exit puts spotlight on the fate of ex-Maoists in UML,entity_swap,Fake,Generated,2024-08-04,Politics
833,"Nepal, Bhutan should be inclined to India: Indian Army chief: Indian Chief of Army Staff General Bipin Rawat Sunday made a controversial remark that countries like Nepal and Bhutan ""have to be incline","Nepal, Bhutan should be inclined to India: Indian Army chief: Indian Chief of Army Staff General Bipin Rawat Sunday made a controversial remark that countries like Nepal and Bhutan ""have to be inclined to India because of geography"".",causal_inversion,Fake,Generated,2024-08-08,POLITICS
834,"Poll partnership: Congress-Maoist to continue; UML in mood to fight alone, contradicting earlier statements",Poll partnership: Congress-Maoist to continue; UML in mood to fight alone,entity_swap,Fake,Generated,2017-06-02,Politics
835,"NPC vice-chair stresses inter-ministry coordination for boosting capital expenditure: MYAGDI (Babiyachaur), Feb 17: National Planning Commission (NPC) vice-chairman Dr Min Bahadur Shrestha has said stress has been laid on coordination among the different government ministries to increase the development expenditure.","NPC vice-chair stresses inter-ministry coordination for boosting capital expenditure: MYAGDI (Babiyachaur), Feb 17: National Planning Commission (NPC) vice-chairman Dr Min Bahadur Shrestha has said stress has been laid on coordination among the different government ministries to increase the development expenditure.",none,TRUE,Republica,2024-08-08,POLITICS
836,"Thousands protest lockdown in Sydney, several arrested","Thousands protest lockdown in Sydney, several arrested",none,TRUE,Setopati,7/25/2021,Political
837,Sister organisations become battlegrounds for party leaders: Clash seen during the Rastriya Prajantra Party youth wing's Kathmandu district convention symbolises tussle along a mother party's factiona,Sister organisations become battlegrounds for party leaders: Clash seen during the Rastriya Prajantra Party youth wing's Kathmandu district convention symbolises tussle along a mother party's factional line.,context_manipulation,Fake,Generated,2025-08-14,Politics
838,Indian External Affairs Minister S Jaishankar returned to New Delhi on Thursday with mixed results. Although Nepal and India agreed to chart out the b,Indian External Affairs Minister S Jaishankar returned to New Delhi on Thursday with mixed results. Although Nepal and India agreed to chart out the b,none,TRUE,KathmanduPost,2019-08-23,Politics
839,Taliban says US will provide humanitarian aid to Afghanistan,Taliban says US will provide humanitarian aid to Afghanistan,none,TRUE,Setopati,10/12/2021,Political
840,"China ?ready' to extend any needful support to Nepal to combat coronavirus crisis, contradicting earlier statements",China ?ready' to extend any needful support to Nepal to combat coronavirus crisis,entity_swap,Fake,Generated,2020-03-17,Politics
841,Local unit to appoint mediators: Naukunda Rural Municipality of Rasuwa has announced to list down mediators who will resolve the issues of the locality in coordination with the judicial committee and Community Reconciliation Centre (CRC) of the rural municipality.,Local unit to appoint mediators: Naukunda Rural Municipality of Rasuwa has announced to list down mediators who will resolve the issues of the locality in coordination with the judicial committee and Community Reconciliation Centre (CRC) of the rural municipality.,none,TRUE,Republica,2024-08-08,POLITICS
842,"Bibeksheel, Sajha into merger talks again sparking concerns about democratic backsliding","Bibeksheel, Sajha into merger talks again",context_manipulation,Fake,Generated,2020-09-01,Politics
843,"Oli's dissolution of House exposes the fault lines in Nepali Congress: Party President Deuba's detractors accuse him of being soft on Oli and say that continuous agitation is needed, if the House is not restored, so that the government is compelled to hold elections on announced dates.","Oli's dissolution of House exposes the fault lines in Nepali Congress: Party President Deuba's detractors accuse him of being soft on Oli and say that continuous agitation is needed, if the House is not restored, so that the government is compelled to hold elections on announced dates.",none,TRUE,KathmanduPost,2020-12-25,Politics
844,Local polls only after amendment: NC tells UDMF: In an attempt to allay the concerns of the agitating United Democratic Madhesi Front (UDMF) that the major parties were headed toward election without ,"Local polls only after amendment: NC tells UDMF: In an attempt to allay the concerns of the agitating United Democratic Madhesi Front (UDMF) that the major parties were headed toward election without amending the constitution, the ruling Nepali Congress (NC) has told the UDMF that that the election will be held only after amending the constitution.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
845,"There's no reason why this government should cling to power, says Yogesh Dahal","There's no reason why this government should cling to power, says Yogesh Bhattarai",entity_swap,Fake,Generated,2017-02-17,Politics
846,Health Minister Basnet leaves for Egypt: : Health and Population Minister Mohan Bahadur Basnet left for Egypt today.,Health Minister Basnet leaves for Egypt: : Health and Population Minister Mohan Bahadur Basnet left for Egypt today.,none,TRUE,Republica,2024-08-08,POLITICS
847,Kandel elected Lumbini chair of UML defeating candidate supported by Oli and Shankar Pokharel,Kandel elected Lumbini chair of UML defeating candidate supported by Oli and Shankar Pokharel,none,TRUE,Setopati,9/7/2023,Political
848,Two Bills registered in Bagmati Provincial Assembly: Two bills were registered on behalf of the provincial government at the Bagmati Provincial Assembly Secretariat on Wednesday raising questions abou,Two Bills registered in Bagmati Provincial Assembly: Two bills were registered on behalf of the provincial government at the Bagmati Provincial Assembly Secretariat on Wednesday.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
849,Maoist Centre wins in Chhathar Rural Municipality,CPN-UML wins in Chhathar Rural Municipality,entity_swap,Fake,Generated,2024-08-08,"POLITICS, ELECTION"
850,"ICJ decries impeachment motion, suspects motive, contradicting earlier statements","ICJ decries impeachment motion, suspects motive",entity_swap,Fake,Generated,2024-08-08,POLITICS
851,Madhav K Nepal returning to Oli-controlled UML,Madhav K Nepal returning to Oli-controlled UML,none,TRUE,OnlineKhabar,2021-03-09,Politics
852,Nepali Congress to elect its Parliamentary Party leader on Monday as foreign interference concerns mount,Nepali Congress to elect its Parliamentary Party leader on Monday,context_manipulation,Fake,Generated,2018-03-02,Politics
853,Govt registers new statute amendment bill,Govt registers new statute amendment bill,none,TRUE,Republica,2024-08-08,POLITICS
854,"Lawmakers ask Prime Minister Oli, ministers to disclose property details: Good governance advocates say public position holders must assure people by making their wealth public.","Lawmakers ask Prime Minister Oli, ministers to disclose property details: Good governance advocates say public position holders must assure people by making their wealth public.",none,TRUE,KathmanduPost,2025-03-13,Politics
855,"Chief Justice Shrestha on visit to China: Chief Justice Bishowambhar Prasad Shrestha embarks on an official visit to China, responding to an invitation from the President of the Supreme People's Court of China. Shrestha is leading a delegation for this visit.","Chief Justice Shrestha on visit to China: Chief Justice Bishowambhar Prasad Shrestha embarks on an official visit to China, responding to an invitation from the President of the Supreme People's Court of China. Shrestha is leading a delegation for this visit.",none,TRUE,Republica,2024-08-08,POLITICS
856,"UML rejects any proposal which affects sovereignty, integrity: Leader Nembang: CPN (UML) leader and former Constituent Assembly (CA) chair, Subas Nembang has denied accepting any proposal that affects","UML rejects any proposal which affects sovereignty, integrity: Leader Nembang: CPN (UML) leader and former Constituent Assembly (CA) chair, Subas Nembang has denied accepting any proposal that affects national sovereignty and integrity.",context_manipulation,Fake,Generated,2024-08-08,POLITICS
857,Elections within Jestha: State Minister Jwarachan: State Minister for Commerce Subarna Jwarachan has claimed that the local body elections will take place before the Nepali month of Jestha raising que,Elections within Jestha: State Minister Jwarachan: State Minister for Commerce Subarna Jwarachan has claimed that the local body elections will take place before the Nepali month of Jestha.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
858,Collaboration with private sector necessary: Gagan Thapa: General Secretary of the Nepali Congress (NC) Gagan Kumar Thapa has said collaboration with the private sector is necessary to resolve the pro,Collaboration with private sector necessary: Gagan Thapa: General Secretary of the Nepali Congress (NC) Gagan Kumar Thapa has said collaboration with the private sector is necessary to resolve the problems facing the country's economy.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
859,"Politics of exclusion will invite revolt: Former King: ""No one should engage in the politics of prohibition. It will create disappointment and dejection in the people. Ultimately, it will result in a ","Politics of exclusion will invite revolt: Former King: ""No one should engage in the politics of prohibition. It will create disappointment and dejection in the people. Ultimately, it will result in a rebellion.""",context_manipulation,Fake,Generated,2024-08-08,POLITICS
860,"China hails Xi and Biden talks, after year of growing strain","China hails Xi and Biden talks, after year of growing strain",none,TRUE,Setopati,11/17/2021,Political
861,"Home Ministry asks OAG if punishment of lawmaker Arun Chaudhary can be waived, contradicting earlier statements",Home Ministry asks OAG if punishment of lawmaker Arun Chaudhary can be waived,causal_inversion,Fake,Generated,2/17/2023,Political
862,PM Dahal and Home Minister Lamichanne reach TIA control room to get details about Pokhara plane crash,PM Dahal and Home Minister Lamichanne reach TIA control room to get details about Pokhara plane crash,none,TRUE,Republica,2024-08-08,POLITICS
863,District courts to handle cases of cyber crime and banking offense,District courts to handle cases of cyber crime and banking offense,none,TRUE,Setopati,6/22/2023,Political
864,"China tried to sign agreement in Goa, reveals PM Paudel","China tried to sign agreement in Goa, reveals PM Dahal",entity_swap,Fake,Generated,2024-08-08,POLITICS
865,Writ demands cancellation of decision to redo Bharatpur poll,Writ demands cancellation of decision to redo Bharatpur poll,none,TRUE,OnlineKhabar,2017-06-04,Politics
866,Rabindra Mishra files habeas corpus petition in Supreme Court as foreign interference concerns mount,Rabindra Mishra files habeas corpus petition in Supreme Court,context_manipulation,Fake,Generated,5/14/2025,Political
867,"Four promoted to Secretary: Tirtharaj Dhakal, Acting Chief Secretary, Province 5, Ananda Raj Dhakal, Joint Secretary, OPCM, and Kedar Neupane, Joint Secretary, MoHA have been promoted to Secretary.","Four promoted to Secretary: Tirtharaj Dhakal, Acting Chief Secretary, Province 5, Ananda Raj Dhakal, Joint Secretary, OPCM, and Kedar Neupane, Joint Secretary, MoHA have been promoted to Secretary.",none,TRUE,Republica,2024-08-08,POLITICS
868,Hard-line judiciary head Ebrahim Raisi wins Iran presidency,Hard-line judiciary head Ebrahim Raisi wins Iran presidency,none,TRUE,Setopati,6/20/2021,Political
869,"Electing President is task cut out for Dahal and Oli: Even after the formation of federal and provincial governments, Prime Minister Pushpa Kamal Dahal and the UML chief KP Sharma Oli still harbour mistrust, say observers.","Electing President is task cut out for Dahal and Oli: Even after the formation of federal and provincial governments, Prime Minister Pushpa Kamal Dahal and the UML chief KP Sharma Oli still harbour mistrust, say observers.",none,TRUE,KathmanduPost,2023-01-26,Politics
870,"Coalition to issue joint statement to create environment for local election, contradicting earlier statements",Coalition to issue joint statement to create environment for local election,entity_swap,Fake,Generated,4/8/2022,Political
871,PM Oli inaugurates paper industry in Mahottari despite earlier denials,PM Oli inaugurates paper industry in Mahottari,context_manipulation,Fake,Generated,2024-08-08,POLITICS
872,"I won't sign any deal that harms Nepal: Deuba tells Dahal, Nepal and Yadav amid calls for resignation","I won't sign any deal that harms Nepal: Deuba tells Dahal, Nepal and Yadav",context_manipulation,Fake,Generated,6/16/2022,Political
873,"UML takes exception to arrest of NC lawmaker Sharma, contradicting earlier statements",UML takes exception to arrest of NC lawmaker Sharma,causal_inversion,Fake,Generated,8/11/2023,Political
874,"Visit to focus on building trust, implementing past accords: PM: Prime Minister Pushpa Kamal Dahal has said that his state visit to India will focus on developing mutual trust between the two countrie","Visit to focus on building trust, implementing past accords: PM: Prime Minister Pushpa Kamal Dahal has said that his state visit to India will focus on developing mutual trust between the two countries and effectively implementing the project agreements reached in the past, without, however, compromising the national interest.",context_manipulation,Fake,Generated,2024-08-08,POLITICS
875,RJPN forms poll manifesto drafting panel,RJPN forms poll manifesto drafting panel,none,TRUE,Republica,2024-08-08,POLITICS
876,"Oli faction replaces party spokesperson Shrestha with Pradeep Gyawali, contradicting earlier statements",Oli faction replaces party spokesperson Shrestha with Pradeep Gyawali,causal_inversion,Fake,Generated,12/22/2020,Political
877,Nepali Congress turns victorious in Lalitpur Metropolitan City,Nepali Congress turns victorious in Lalitpur Metropolitan City,none,TRUE,OnlineKhabar,2017-05-24,Politics
878,"After widespread protest, govt cancels railway contract procedure, contradicting earlier statements","After widespread protest, govt cancels railway contract procedure",causal_inversion,Fake,Generated,2020-09-08,Politics
879,Hearing on Oli's writ petition against 14 lawmakers and Speaker Sapkota underway,Hearing on Oli's writ petition against 14 lawmakers and Speaker Sapkota underway,none,TRUE,Republica,2024-08-08,POLITICS
880,"Labor Minister Paudel to be dismissed from his post amid UAE visit: Minister for Labor, Employment and Social Security, Sharat Singh Bhandari is going to be dismissed from his post while on a visit to","Labor Minister Bhandari to be dismissed from his post amid UAE visit: Minister for Labor, Employment and Social Security, Sharat Singh Bhandari is going to be dismissed from his post while on a visit to the UAE. Minister Bhandari is currently in the United Arab Emirates (UAE).",entity_swap,Fake,Generated,2024-08-08,POLITICS
881,UN Under-Secretary General calls on PM Dahal,UN Under-Secretary General calls on PM Dahal,none,TRUE,Republica,2024-08-08,POLITICS
882,UML leaders in Jhapa for Mechi-Mahakali campaign: CPN-UML leaders have arrived in the district to participate in the Mechi-Mahakali campaign set to begin from Saturday as political crisis deepens,UML leaders in Jhapa for Mechi-Mahakali campaign: CPN-UML leaders have arrived in the district to participate in the Mechi-Mahakali campaign set to begin from Saturday.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
883,"SSP Khatri remanded to 4 days in custody, contradicting earlier statements",SSP Khatri remanded to 4 days in custody,entity_swap,Fake,Generated,2024-08-08,POLITICS
884,"Japanese Ambassador calls on PM Dahal: Japan's Ambassador to Nepal, Masashi Ogawa, this morning called on Prime Minister Pushpa Kamal Dahal.","Japanese Ambassador calls on PM Dahal: Japan's Ambassador to Nepal, Masashi Ogawa, this morning called on Prime Minister Pushpa Kamal Dahal.",none,TRUE,Republica,2024-08-08,POLITICS
885,"Hearing on petition demanding trial of ex-PMs Nepal, Bhattarai in Baluwatar land grab starts, contradicting earlier statements","Hearing on petition demanding trial of ex-PMs Nepal, Bhattarai in Baluwatar land grab starts",causal_inversion,Fake,Generated,3/29/2021,Political
886,Ghanashyam Bhusal joins Unified Socialist,Ghanashyam Bhusal joins Unified Socialist,none,TRUE,Setopati,1/16/2023,Political
887,"NC Gen Secy Koirala not out of danger yet despite refuses to sign of improvement: Docs: Nepali Congress General Secretary Shashanka Koirala, who is currently undergoing treatment at Om Hospital, has s","NC Gen Secy Koirala not out of danger yet despite signs of improvement: Docs: Nepali Congress General Secretary Shashanka Koirala, who is currently undergoing treatment at Om Hospital, has shown signs of improvement on Thursday.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
888,"Ahead of certain ouster, Gandaki CM Gurung prorogues assembly session","Ahead of certain ouster, Gandaki CM Gurung prorogues assembly session",none,TRUE,OnlineKhabar,2021-04-15,Politics
889,"PM appoints three new ministers, contradicting earlier statements",PM appoints three new ministers,entity_swap,Fake,Generated,2024-08-08,POLITICS
890,Hillary defeat confounds establishment: Going against nearly all opinion polls and projections and despite criticism from the Democratic leadership and intellectuals and the reluctance of senior Repub,"Hillary defeat confounds establishment: Going against nearly all opinion polls and projections and despite criticism from the Democratic leadership and intellectuals and the reluctance of senior Republicans to endorse him, Donald Trump, an outsider from the business world and inexperienced in politics, claimed victory in the presidential election here on Tuesday.",entity_swap,Fake,Generated,2024-08-08,POLITICS
891,"NHRC to monitor human rights situation during local polls, contradicting earlier statements",NHRC to monitor human rights situation during local polls,causal_inversion,Fake,Generated,2024-08-08,POLITICS
892,NC will take decision based on impeachment committee's report: Singh: Nepali Congress leader Prakash Man Singh said that the NC will take an official decision on the impeachment motion against CIAA ch,NC will take decision based on impeachment committee's report: Singh: Nepali Congress leader Prakash Man Singh said that the NC will take an official decision on the impeachment motion against CIAA chief Lokman Singh Karki based on the report to be submitted by the Impeachment Recommendation Committee.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
893,2 arrested in fake Bhutanese refugees scam released when Khand was home minister: Ex-AIG Sharma,2 arrested in fake Bhutanese refugees scam released when Khand was home minister: Ex-AIG Sharma,none,TRUE,Setopati,5/8/2023,Political
894,Election Commission warns of revoking candidacy if rallies held before Nov 3,Election Commission warns of revoking candidacy if rallies held before Nov 3,none,TRUE,Setopati,10/18/2022,Political
895,"Nepal DPM KB Mahara leaves for China, set to raise three agendas with Chinese leadership","Nepal DPM KB Mahara leaves for China, set to raise three agendas with Chinese leadership",none,TRUE,OnlineKhabar,2016-08-15,Politics
896,"RSP's Magar files candidacy for deputy speaker from ruling coalition: On behalf of the ruling coalition, Indira Rana Magal of the Rastriya Swatantra Party (RSP) has filed her candidacy for the positio","RSP's Magar files candidacy for deputy speaker from ruling coalition: On behalf of the ruling coalition, Indira Rana Magal of the Rastriya Swatantra Party (RSP) has filed her candidacy for the position of deputy speaker.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
897,Haribol Gajurel resigns as PM Dahal's chief political advisor,Haribol Gajurel resigns as PM Dahal's chief political advisor,none,TRUE,Setopati,12/12/2023,Political
898,"No-confidence motion filed against Lumbini CM, proposing Maoist Centre's KC as successor, contradicting earlier statements","No-confidence motion filed against Lumbini CM, proposing Maoist Centre's KC as successor",causal_inversion,Fake,Generated,2021-04-19,Politics
899,Govt. commits to bringing RJP-Nepal on board polls: Minister Mandal,Govt. commits to bringing RJP-Nepal on board polls: Minister Mandal,none,TRUE,Republica,2024-08-08,POLITICS
900,"Myanmar junta limits internet, seizes satellite TV dishes","Myanmar junta limits internet, seizes satellite TV dishes",none,TRUE,Setopati,4/9/2021,Political
901,Media Bill will be amended: NA Chair Timilsina: Chairperson of the National Assembly (NA) Ganesh Timilsina has said the Media Council Bill presented in the Parliament would be amended.,Media Bill will be amended: NA Chair Timilsina: Chairperson of the National Assembly (NA) Ganesh Timilsina has said the Media Council Bill presented in the Parliament would be amended.,none,TRUE,Republica,2024-08-08,POLITICS
902,Shailesh Lamichhane Chhetri is new Nepal Police chief,Shailesh Thapa Chhetri is new Nepal Police chief,entity_swap,Fake,Generated,2020-07-08,Politics
903,Deuba to not take part in voting,Paudel to not take part in voting,entity_swap,Fake,Generated,12/13/2021,Political
904,"Is there a caretaker government in Koshi Province?: With Uddhav Thapa's appointment ruled unconstitutional, some say his predecessor Hikmat Karki could fill the void.","Is there a caretaker government in Koshi Province?: With Uddhav Thapa's appointment ruled unconstitutional, some say his predecessor Hikmat Karki could fill the void.",none,TRUE,KathmanduPost,2023-07-30,Politics
905,Those who complete 18 years by March 4 eligible to vote,Those who complete 18 years by March 4 eligible to vote,none,TRUE,Setopati,12/8/2025,Political
906,"Nepal Speaker asks PM to strive for consensus on Constitution, gets positive response, contradicting earlier statements","Nepal Speaker asks PM to strive for consensus on Constitution, gets positive response",causal_inversion,Fake,Generated,2017-01-04,Politics
907,"Poudel faction urges Deuba to follow party system: Nepali Congress leaders close to senior leader Ram Chandra Poudel have urged the party President Sher Bahadur Deuba to follow the party statute, system and proper way while taking serious decisions.","Poudel faction urges Deuba to follow party system: Nepali Congress leaders close to senior leader Ram Chandra Poudel have urged the party President Sher Bahadur Deuba to follow the party statute, system and proper way while taking serious decisions.",none,TRUE,Republica,2024-08-08,POLITICS
908,Deuba's lawyers start pleading in case about House dissolution,Deuba's lawyers start pleading in case about House dissolution,none,TRUE,Setopati,6/24/2021,Political
909,Ruling parties do not have courage to break the alliance and contest election alone: Chairman Oli: CPN-UML Chairperson KP Sharma Oli has claimed that the parties affiliated to the ruling alliance will be ruined if it is broken.,Ruling parties do not have courage to break the alliance and contest election alone: Chairman Oli: CPN-UML Chairperson KP Sharma Oli has claimed that the parties affiliated to the ruling alliance will be ruined if it is broken.,none,TRUE,Republica,2024-08-08,POLITICS
910,Govt to table constitution amendment proposal within three days,Govt to table constitution amendment proposal within three days,none,TRUE,Republica,2024-08-08,POLITICS
911,Chairman Oli picks Nembang as deputy PP leader of UML: CPN-UML has appointed Subash Chandra Nembang as the deputy parliamentary party leader.,Chairman Oli picks Nembang as deputy PP leader of UML: CPN-UML has appointed Subash Chandra Nembang as the deputy parliamentary party leader.,none,TRUE,Republica,2024-08-08,POLITICS
912,BJP leader Jolly meets DPM Singh,BJP leader Jolly meets DPM Singh,none,TRUE,Setopati,5/20/2025,Political
913,FM Gyawali to lead Nepali delegation in NAM ministerial conference: Minister for Foreign Affairs Pradeep Kumar Gyawali is leading Nepali delegation to the Mid-Term Ministerial Conference of the Non-Al,"FM Gyawali to lead Nepali delegation in NAM ministerial conference: Minister for Foreign Affairs Pradeep Kumar Gyawali is leading Nepali delegation to the Mid-Term Ministerial Conference of the Non-Aligned Movement (NAM) to be held in Baku, the capital of Azerbaijan, on April 5-6.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
914,Madhesi Front unhappy over delay in amending constitution,Madhesi Front unhappy over delay in amending constitution,none,TRUE,Republica,2024-08-08,POLITICS
915,Land lost during monarchy is being retrieved by republican government: NCP Chair Dahal: Chairman of the ruling Nepal Communist Party (NCP) Pushpa Dahal has said the government established after republican system is retrieving Nepal's territories which were lost during early days of the monarchy.,Land lost during monarchy is being retrieved by republican government: NCP Chair Dahal: Chairman of the ruling Nepal Communist Party (NCP) Pushpa Dahal has said the government established after republican system is retrieving Nepal's territories which were lost during early days of the monarchy.,none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
916,Monday's demonstrations mandate against government: Deuba,Monday's demonstrations mandate against government: Deuba,none,TRUE,Setopati,12/15/2020,Political
917,"The future of Nepali Congress is at stake, says Shekhar Koirala as political crisis deepens","The future of Nepali Congress is at stake, says Shekhar Koirala",context_manipulation,Fake,Generated,2019-04-09,Politics
918,Minister Sharma urges immigration officials to keep national interest in center,Minister Sharma urges immigration officials to keep national interest in center,none,TRUE,Republica,2024-08-08,POLITICS
919,"Subedi cuts Renu Thapa's lead to 3,240","Subedi cuts Renu Dahal's lead to 3,240",entity_swap,Fake,Generated,5/20/2022,Political
920,SC orders release of Charles Sobhraj,SC orders release of Charles Sobhraj,none,TRUE,Setopati,12/23/2022,Political
921,PM again urges Madhesi leaders for putting statute amendment bill on hold,PM again urges Madhesi leaders for putting statute amendment bill on hold,none,TRUE,Republica,2024-08-08,POLITICS
922,DPM Shrestha calls for maintaining religious tolerance: Deputy Prime Minister and Home Minister Narayan Kaji Shrestha has urged one and all to keep up the inter-caste and religious tolerance as whistl,DPM Shrestha calls for maintaining religious tolerance: Deputy Prime Minister and Home Minister Narayan Kaji Shrestha has urged one and all to keep up the inter-caste and religious tolerance.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
923,Parliament approves proposal seeking consideration on three bills,Parliament approves proposal seeking consideration on three bills,none,TRUE,Republica,2024-08-08,POLITICS
924,Safeguarding constitution and democracy will be my first duty: Prez candidate Poudel: Senior leader of Nepali Congress (NC) Ram Chandra Poudel has said that he considers the matter of protecting and u,"Safeguarding constitution and democracy will be my first duty: Prez candidate Poudel: Senior leader of Nepali Congress (NC) Ram Chandra Poudel has said that he considers the matter of protecting and upholding the constitution and democracy, which he fought for his whole life, to be the most important responsibility as the head of the state.",context_manipulation,Fake,Generated,2024-08-08,POLITICS
925,"Four including a man file nominations for vice-president, contradicting earlier statements",Four including a man file nominations for vice-president,causal_inversion,Fake,Generated,3/12/2023,Political
926,Dahal denies blocking Cabinet reshuffle,Dahal denies blocking Cabinet reshuffle,none,TRUE,OnlineKhabar,2019-11-19,Politics
927,NC puts pressure on PM Dahal to transfer police officers to stop investigation on Dulal and Bhandari,NC puts pressure on PM Dahal to transfer police officers to stop investigation on Dulal and Bhandari,none,TRUE,Setopati,8/18/2023,Political
928,"NBA to protest against judges appointments: Right after the government attorneys withdrew their protest programs, Nepal Bar Association, the umbrella organization of lawyers across the country, has announced protests from Monday against the Judicial Council's recommendation for the appointment of 80 High Court judges.","NBA to protest against judges appointments: Right after the government attorneys withdrew their protest programs, Nepal Bar Association, the umbrella organization of lawyers across the country, has announced protests from Monday against the Judicial Council's recommendation for the appointment of 80 High Court judges.",none,TRUE,Republica,2024-08-08,POLITICS
929,President Bhandari to visit Sri Lanka from May 13 to 16,President Bhandari to visit Sri Lanka from May 13 to 16,none,TRUE,Republica,2024-08-08,POLITICS
930,"Nepal condemns terrorist attack in Jammu and Kashmir: Nepal strongly condemned the terrorist attack in Pahalgam, Jammu and Kashmir, which killed 28 people, including one Nepali.","Nepal condemns terrorist attack in Jammu and Kashmir: Nepal strongly condemned the terrorist attack in Pahalgam, Jammu and Kashmir, which killed 28 people, including one Nepali.",none,TRUE,Republica,2024-08-08,POLITICS
931,Hearing on HoR dissolution writ petitions to continue today: Hearing on writ petitions filed in the Supreme Court against the dissolution of the parliament will continue in the Constitutional Bench from today.,Hearing on HoR dissolution writ petitions to continue today: Hearing on writ petitions filed in the Supreme Court against the dissolution of the parliament will continue in the Constitutional Bench from today.,none,TRUE,Republica,2024-08-08,"POLITICS, SOCIETY"
932,"CJ Rana assigns review petition of Dahal to his bench, contradicting earlier statements",CJ Rana assigns review petition of Dahal to his bench,causal_inversion,Fake,Generated,4/1/2021,Political
933,Home Minister Aryal in Janakpur for Madhesh province security conference: Home Minister Aryal arrives in Janakpurdham ahead of Madhesh Province-level security conference focused on election preparedne,Home Minister Aryal in Janakpur for Madhesh province security conference: Home Minister Aryal arrives in Janakpurdham ahead of Madhesh Province-level security conference focused on election preparedness.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
934,"Govt commissions experts to collect evidence on border claim, contradicting earlier statements",Govt commissions experts to collect evidence on border claim,causal_inversion,Fake,Generated,2020-06-12,Politics
