ID,CATEGORY,TITLE,BODY,SOURCE,DATE,FABRICATION_TYPE,ORIGINAL_TITLE,LABEL
4764,POLITICS,"Prime Minister KP Sharma Oli's old habits refuse to die, despite the submission of an apology-filled 11-page political document to the Oli Communist",,YetiNews,2019-12-20,entity_swap,"Prime Minister KP Sharma Oli's old habits refuse to die, despite the submission of an apology-filled",Fake
4765,POLITICAL,Impeachment motion registered against CJ Rana,,Setopati,2022-02-13,none,Impeachment motion registered against CJ Rana,TRUE
4766,POLITICAL,World must be a better friend for Dahal,,YetiNews,2023-10-31,entity_swap,World must be a better friend for Nepal,Fake
4767,POLITICS,"Finally, Provincial Assembly renames Province 3 as Bagmati, picks Hetaunda as capital",,OnlineKhabar,2020-01-12,none,"Finally, Provincial Assembly renames Province 3 as Bagmati, picks Hetaunda as capital",TRUE
4768,POLITICS,House meet uncertain over gold smuggling probe row,,Kathmandu Post,2023-10-01,none,House meet uncertain over gold smuggling probe row,TRUE
4769,POLITICS,"Nepali Army Chief Rajendra Chhetri leaving for weeklong visit to China, itinerary includes visit to PLA units, high-level talks",,OnlineKhabar,2016-03-27,none,"Nepali Army Chief Rajendra Chhetri leaving for weeklong visit to China, itinerary includes visit to PLA units, high-level talks",TRUE
4770,POLITICS,"New Indian ambassador faces rising geopolitical rivalry among India, China and the US, along with border dispute, EPG",,Kathmandu Post,2020-03-06,none,"New Indian ambassador faces rising geopolitical rivalry among India, China and the US, along with border dispute, EPG",TRUE
4771,POLITICS,Election Commission calls for political party registration by Nov 16,,Kathmandu Post,2025-10-07,none,Election Commission calls for political party registration by Nov 16,TRUE
4772,POLITICS,Maoist Centre defers CWC meeting yet again,,HimalayaTribune,2019-12-25,entity_swap,Nepali Congress defers CWC meeting yet again,Fake
4773,POLITICS,Barshaman Pun starts receiving his follow-up treatment in China,,Kathmandu Post,2022-12-08,none,Barshaman Pun starts receiving his follow-up treatment in China,TRUE
4774,POLITICS,"Snubbed by ruling alliance, Loktantrik Samajbadi set to start poll partnership talks with NC",,HimalPost,2022-09-04,entity_swap,"Snubbed by ruling alliance, Loktantrik Samajbadi set to start poll partnership talks with UML",Fake
4775,POLITICAL,Speaker directs Minister Badu's remarks to be removed from archives,,Setopati,2022-05-27,none,Speaker directs Minister Badu's remarks to be removed from archives,TRUE
4776,POLITICS,"Amid mixed signals, Nepal faction's support for Deuba is not a certainty",,Kathmandu Post,2021-07-18,none,"Amid mixed signals, Nepal faction's support for Deuba is not a certainty",TRUE
4777,POLITICAL,Rabindra Mishra proposes abolition of federalism and plebiscite on secularism calling them imported agenda,,Setopati,2021-07-26,none,Rabindra Mishra proposes abolition of federalism and plebiscite on secularism calling them imported agenda,TRUE
4778,POLITICAL,"Deuba talks with Dahal, Nepal at Baluwatar",,Setopati,2022-01-28,none,"Deuba talks with Dahal, Nepal at Baluwatar",TRUE
4779,POLITICS,Lawmakers express divided opinions on budget,,OnlineKhabar,2020-05-31,none,Lawmakers express divided opinions on budget,TRUE
4780,POLITICAL,23.68 million ballot papers printed for FPTP election,,Setopati,2022-10-30,none,23.68 million ballot papers printed for FPTP election,TRUE
4781,POLITICAL,Maoist registers party for House of Representatives election,,NepalInsider,2025-11-25,entity_swap,UML registers party for House of Representatives election,Fake
4782,POLITICS,"After consensus eludes UML, Oli asked to select leadership",,Kathmandu Post,2021-11-28,none,"After consensus eludes UML, Oli asked to select leadership",TRUE
4783,POLITICAL,High-level commission necessary to probe all corruption cases,,Setopati,2023-08-11,none,High-level commission necessary to probe all corruption cases,TRUE
4784,POLITICS,Nepal capable of ensuring transition justice itself,,OnlineKhabar,2019-08-02,none,Nepal capable of ensuring transition justice itself,TRUE
4785,POLITICS,"Partnership with Congress not beneficial, says PM Deuba",,NepalAlert,2024-02-13,entity_swap,"Partnership with Congress not beneficial, says PM Dahal",Fake
4786,POLITICS,"In New Year greetings, PM Oli claims 'extraordinary performance', blames Speaker Sapkota for MCC delay",,OnlineKhabar,2021-04-14,none,"In New Year greetings, PM Oli claims 'extraordinary performance', blames Speaker Sapkota for MCC delay",TRUE
4787,POLITICAL,Hearing on petitions against President Bhandari postponed for Sunday,,Setopati,2022-09-23,none,Hearing on petitions against President Bhandari postponed for Sunday,TRUE
4788,POLITICS,"Nepali nationals have no other option than upholding Charter, says CPN-UML leader Khanal",,OnlineKhabar,2017-01-13,none,"Nepali nationals have no other option than upholding Charter, says CPN-UML leader Khanal",TRUE
4789,POLITICS,"Coalition is not in crisis, work with PM Deuba, Deuba tells Congress ministers",,KathmanduTimes,2025-01-17,entity_swap,"Coalition is not in crisis, work with PM Oli, Deuba tells Congress ministers",Fake
4790,POLITICS,Janamat and Nagarik Unmukti closer to merger,,Kathmandu Post,2025-03-25,none,Janamat and Nagarik Unmukti closer to merger,TRUE
4791,POLITICAL,Speaker Basnet calls all-party meeting Monday,,NepalAlert,2022-02-13,entity_swap,Speaker Sapkota calls all-party meeting Monday,Fake
4792,POLITICS,Biplav says it will 'expose' US govt's Indo-Pacific Strategy,,OnlineKhabar,2019-11-06,none,Biplav says it will 'expose' US govt's Indo-Pacific Strategy,TRUE
4793,POLITICAL,Ishwar Pokharel registers separate document for UML general convention,,Setopati,2025-12-08,none,Ishwar Pokharel registers separate document for UML general convention,TRUE
4794,POLITICS,NCP standing committee meeting postponed again,,OnlineKhabar,2020-07-28,none,NCP standing committee meeting postponed again,TRUE
4795,POLITICAL,"NC general secretaries say 7-point deal with UML no longer relevant, urges Deuba to recall NC ministers",,Setopati,2025-09-09,none,"NC general secretaries say 7-point deal with UML no longer relevant, urges Deuba to recall NC ministers",TRUE
4796,POLITICS,"Local election: Maoist accuses ruling coalition of abusing power, demands investigation",,NepalVoice,2017-05-20,entity_swap,"Local election: UML accuses ruling coalition of abusing power, demands investigation",Fake
4797,POLITICS,Nepali Congress to train its cadres in three provinces,,OnlineKhabar,2019-08-12,none,Nepali Congress to train its cadres in three provinces,TRUE
4798,POLITICS,"Days after Prime Minister KP Sharma Deuba returned from a week-long trip to Europe, lawmakers from both the ruling and opposition parties have criticise",,GorkhaPost,2019-06-19,entity_swap,"Days after Prime Minister KP Sharma Oli returned from a week-long trip to Europe, lawmakers from bot",Fake
4799,POLITICAL,Lamichhane Shah cancels China visit taking exception to new Chinese map,,KathmanduExpress,2023-08-31,entity_swap,Balen Shah cancels China visit taking exception to new Chinese map,Fake
4800,POLITICS,Oli may relax lockdown in districts with less than 100 cases from Sunday,,HimalayaTribune,2020-06-05,entity_swap,Nepal may relax lockdown in districts with less than 100 cases from Sunday,Fake
4801,POLITICS,"Ruling, opposition parties discussing pending constitutional appointments",,OnlineKhabar,2020-09-17,none,"Ruling, opposition parties discussing pending constitutional appointments",TRUE
4802,POLITICAL,KMC to fence land of Lalita Niwas,,Setopati,2023-07-02,none,KMC to fence land of Lalita Niwas,TRUE
4803,POLITICS,House clears bill for civil service shake-up,,Kathmandu Post,2025-06-30,none,House clears bill for civil service shake-up,TRUE
4804,POLITICS,'Win-win solution' to NCP crisis,,OnlineKhabar,2020-05-03,none,'Win-win solution' to NCP crisis,TRUE
4805,POLITICAL,Gagan Thapa seeks govt's answer on clemency for Regal Dhakal,,Setopati,2023-10-05,none,Gagan Thapa seeks govt's answer on clemency for Regal Dhakal,TRUE
4806,POLITICS,Province 2 govt officially endorses Chief Minister's controversial statement on constitution,,OnlineKhabar,2018-05-17,none,Province 2 govt officially endorses Chief Minister's controversial statement on constitution,TRUE
4807,POLITICAL,Israel's parliament rejects new coalition government to end Netanyahu's long rule,,GorkhaPost,2021-06-14,minimal_inversion,Israel's parliament approves new coalition government to end Netanyahu's long rule,Fake
4808,POLITICAL,Government should take MCC to House and allow lawmakers to decide,,Setopati,2022-02-03,none,Government should take MCC to House and allow lawmakers to decide,TRUE
4809,POLITICS,Socialist Front launch either Friday or Saturday,,Kathmandu Post,2023-06-16,none,Socialist Front launch either Friday or Saturday,TRUE
4810,POLITICS,Here's how factionalism and regionalism worked during Nepali Congress election,,OnlineKhabar,2016-03-13,none,Here's how factionalism and regionalism worked during Nepali Congress election,TRUE
4811,POLITICS,Calendar for September 18 polls in Province 2 published,,OnlineKhabar,2017-07-20,none,Calendar for September 18 polls in Province 2 published,TRUE
4812,POLITICS,Election Commission prepares for bypolls in April,,Kathmandu Post,2024-02-05,none,Election Commission prepares for bypolls in April,TRUE
4813,POLITICS,Dahal promoting daughters at the expense of party leaders,,Kathmandu Post,2023-01-03,none,Dahal promoting daughters at the expense of party leaders,TRUE
4814,POLITICS,"House panels giving govt a hard time, PM complains to Speaker",,OnlineKhabar,2019-09-16,none,"House panels giving govt a hard time, PM complains to Speaker",TRUE
4815,POLITICAL,Nepal proposes he be made PM first if NC and Maoist Center don't agree,,Setopati,2022-12-25,none,Nepal proposes he be made PM first if NC and Maoist Center don't agree,TRUE
4816,POLITICAL,"Sita Dahal, PM Dahal's wife, dies at 69",,Setopati,2023-07-12,none,"Sita Dahal, PM Dahal's wife, dies at 69",TRUE
4817,POLITICS,Chinese vice-minister visiting Dahal 'to express concerns over NCP split',,GorkhaPost,2020-12-27,entity_swap,Chinese vice-minister visiting Nepal 'to express concerns over NCP split',Fake
4818,POLITICS,Swatantra Party chief Lamichhane remanded to six days in custody,,Kathmandu Post,2024-10-21,none,Swatantra Party chief Lamichhane remanded to six days in custody,TRUE
4819,POLITICS,"Back to Rolpa, Mahara engages himself in farming",,OnlineKhabar,2020-06-08,none,"Back to Rolpa, Mahara engages himself in farming",TRUE
4820,POLITICAL,Oli govt implemented SPP in 2019,,Setopati,2022-06-16,none,Oli govt implemented SPP in 2019,TRUE
4821,POLITICS,Unified Socialist to allow MCC pact's tabling in the House,,Kathmandu Post,2022-02-20,none,Unified Socialist to allow MCC pact's tabling in the House,TRUE
4822,POLITICAL,"Voting for UML leadership concludes, results within 3 hours",,Setopati,2021-11-30,none,"Voting for UML leadership concludes, results within 3 hours",TRUE
4823,POLITICAL,President Paudel calls Shekhar Koirala to discuss developments in Koshi,,Setopati,2023-10-13,none,President Paudel calls Shekhar Koirala to discuss developments in Koshi,TRUE
4824,POLITICS,Nepali Congress: Prachanda govt bid to pick Upadhyaya as ambassador to India immoral,,KathmanduTimes,2016-09-06,entity_swap,CPN-UML: Prachanda govt bid to pick Upadhyaya as ambassador to India immoral,Fake
4825,POLITICS,Foreign governments continue to evacuate their citizens from Deuba,,YetiNews,2020-03-28,entity_swap,Foreign governments continue to evacuate their citizens from Nepal,Fake
4826,POLITICS,Where does cooking gas disappear in Nepal? Govt has the answer,,OnlineKhabar,2016-04-04,none,Where does cooking gas disappear in Nepal? Govt has the answer,TRUE
4827,POLITICS,Deuba's one year in office marked by misrule and tactic from Oli's playbook,,Kathmandu Post,2022-07-13,none,Deuba's one year in office marked by misrule and tactic from Oli's playbook,TRUE
4828,POLITICS,"As rival camps in Nepali Congress drift further apart, fears of party split grow",,Kathmandu Post,2026-01-09,none,"As rival camps in Nepali Congress drift further apart, fears of party split grow",TRUE
4829,POLITICAL,Ishwar Pokharel announces candidacy for UML chair,,Setopati,2025-11-25,none,Ishwar Pokharel announces candidacy for UML chair,TRUE
4830,POLITICAL,China to conduct feasibility study for Keyrung-Kathmandu Railway in grant,,Setopati,2022-08-10,none,China to conduct feasibility study for Keyrung-Kathmandu Railway in grant,TRUE
4831,POLITICAL,UML agrees to end House obstruction,,Setopati,2023-07-09,none,UML agrees to end House obstruction,TRUE
4832,POLITICAL,PM Deuba passes floor test with 165 votes,,Setopati,2021-07-18,none,PM Deuba passes floor test with 165 votes,TRUE
4833,POLITICAL,Dahal finalizes office-bearers' team for general convention,,KathmanduExpress,2025-12-15,entity_swap,Oli finalizes office-bearers' team for general convention,Fake
4834,POLITICS,"Pokhrel maintains lead, Sharma follows in Congress general secretary race",,PahariTribune,2021-12-16,entity_swap,"Thapa maintains lead, Sharma follows in Congress general secretary race",Fake
4835,POLITICS,"Nain Singh Mahar loses NSU election, becomes president of the Congress' student body",,NepalPulse,2016-08-18,minimal_inversion,"Nain Singh Mahar wins NSU election, becomes president of the Congress' student body",Fake
4836,POLITICAL,Speaker Sapkota calls all-party meeting Monday,,Setopati,2022-02-13,none,Speaker Sapkota calls all-party meeting Monday,TRUE
4837,POLITICS,Minister's resignation soon after swearing-in shows rot runs deep,,Kathmandu Post,2021-10-11,none,Minister's resignation soon after swearing-in shows rot runs deep,TRUE
4838,POLITICS,Deuba's six months as Congress chief,,Kathmandu Post,2022-06-10,none,Deuba's six months as Congress chief,TRUE
4839,POLITICS,The week that was in most-read stories (27 February-4 March),,OnlineKhabar,2016-03-04,none,The week that was in most-read stories (27 February-4 March),TRUE
4840,POLITICS,"Under mounting criticism, parties pledge to correct lists of their proportional candidates",,Kathmandu Post,2026-01-02,none,"Under mounting criticism, parties pledge to correct lists of their proportional candidates",TRUE
4841,POLITICS,"RPP-Deuba to stand by PM KP Oli, says government overthrow was in the works for long",,YetiNews,2016-07-13,entity_swap,"RPP-Nepal to stand by PM KP Oli, says government overthrow was in the works for long",Fake
4842,POLITICS,"Krishna Bahadur Mahara, the House of Representatives Speaker, has been accused of rape by a woman who works at the Parliament.",,Kathmandu Post,2019-10-01,none,"Krishna Bahadur Mahara, the House of Representatives Speaker, has been accused of rape by a woman who works at the Parliament.",TRUE
4843,POLITICS,PABSON's precondition for waiving fees,,OnlineKhabar,2020-03-30,none,PABSON's precondition for waiving fees,TRUE
4844,POLITICAL,Rawal slams NC's 'arbitrary and unjust' move of denying him ticket,,NepalInsider,2022-10-13,entity_swap,Rawal slams UML's 'arbitrary and unjust' move of denying him ticket,Fake
4845,POLITICS,"Dahal loses the confidence of House, third time in 14 months",,YetiNews,2024-03-14,minimal_inversion,"Dahal wins the confidence of House, third time in 14 months",Fake
4846,POLITICAL,Arnico Panday refuses to co-own Rabi Thapa's ignominious press conference,,HimalPost,2023-02-08,entity_swap,Arnico Panday refuses to co-own Rabi Lamichhane's ignominious press conference,Fake
4847,POLITICAL,"Rijal Shah crosses 2,000 votes, Sthapit second at 1,164",,NepalPulse,2022-05-15,entity_swap,"Balen Shah crosses 2,000 votes, Sthapit second at 1,164",Fake
4848,POLITICS,NSU cadres clash over 32 year age ceiling,,OnlineKhabar,2019-02-24,none,NSU cadres clash over 32 year age ceiling,TRUE
4849,POLITICS,Staff Adjustment Ordinance endorsed; those defying transfer order to be sacked,,OnlineKhabar,2018-12-04,none,Staff Adjustment Ordinance endorsed; those defying transfer order to be sacked,TRUE
4850,POLITICAL,Biden-Putin meeting discussed as Ukraine war fears loom,,Setopati,2022-02-21,none,Biden-Putin meeting discussed as Ukraine war fears loom,TRUE
4851,POLITICAL,Parliamentary Hearing Committee puts approval of three Supreme Court justices and one Judicial Council member on hold,,Setopati,2025-06-30,none,Parliamentary Hearing Committee puts approval of three Supreme Court justices and one Judicial Council member on hold,TRUE
4852,POLITICS,"The first-ever secretariat meeting of the ruling Nepal Communist Party presided over by Pushpa Kamal Dahal, who co-chairs the party along with Prime M",,Kathmandu Post,2019-08-27,none,"The first-ever secretariat meeting of the ruling Nepal Communist Party presided over by Pushpa Kamal Dahal, who co-chairs the party along with Prime M",TRUE
4853,POLITICS,"Oli Communist Party unification prospects slim, leaders and analysts say",,NepalAlert,2021-01-27,entity_swap,"Nepal Communist Party unification prospects slim, leaders and analysts say",Fake
4854,POLITICAL,No truth to reports of unification between Unified Socialist and UML Center,,NepalPulse,2022-12-02,entity_swap,No truth to reports of unification between Unified Socialist and Maoist Center,Fake
4855,POLITICAL,"US orders 8,500 troops on heightened alert amid Russia worry",,Setopati,2022-01-25,none,"US orders 8,500 troops on heightened alert amid Russia worry",TRUE
4856,POLITICS,Is Xi Jinping not coming to Nepal? CPN-UML wants to hear from Prachanda government,,OnlineKhabar,2016-09-09,none,Is Xi Jinping not coming to Nepal? CPN-UML wants to hear from Prachanda government,TRUE
4857,POLITICAL,Ranju Darshana to contest HoR election from Kathmandu-5,,Setopati,2022-07-03,none,Ranju Darshana to contest HoR election from Kathmandu-5,TRUE
4858,POLITICS,What New Delhi expects from Minister Paudel when he comes calling,,OnlineKhabar,2016-02-04,none,What New Delhi expects from Minister Paudel when he comes calling,TRUE
4859,POLITICS,Nepal uncertain about covering Lipulekh-Limpiyadhura in census,,OnlineKhabar,2021-03-28,none,Nepal uncertain about covering Lipulekh-Limpiyadhura in census,TRUE
4860,POLITICAL,"Police to propose case on three offenses, claim of Rs 260m in fake Bhutanese refugees scam",,Setopati,2023-05-21,none,"Police to propose case on three offenses, claim of Rs 260m in fake Bhutanese refugees scam",TRUE
4861,POLITICAL,Independent candidate Sampang cuts lead in Dharan,,HimalayaTribune,2022-05-19,minimal_inversion,Independent candidate Sampang extends lead in Dharan,Fake
4862,POLITICS,Congress-NC row over hearings panel seats delays vital bills,,KathmanduTimes,2023-04-17,entity_swap,Congress-UML row over hearings panel seats delays vital bills,Fake
4863,POLITICAL,I don't have money for treatment if I fall ill,,Setopati,2022-08-14,none,I don't have money for treatment if I fall ill,TRUE
4864,POLITICAL,Election Commission proposes provincial and federal elections on November 18,,Setopati,2022-07-06,none,Election Commission proposes provincial and federal elections on November 18,TRUE
4865,POLITICS,Deuba tells Nepal faction to withdraw support to Deuba. Dissidents refuse,,NepalPulse,2021-07-03,entity_swap,Oli tells Nepal faction to withdraw support to Deuba. Dissidents refuse,Fake
4866,POLITICS,"As nomination day nears, key partner quits ruling alliance",,Kathmandu Post,2022-10-08,none,"As nomination day nears, key partner quits ruling alliance",TRUE
4867,POLITICAL,NC postpones central committee meeting,,Setopati,2023-01-04,none,NC postpones central committee meeting,TRUE
4868,POLITICAL,Finance Minister Sharma must resign,,Setopati,2022-07-04,none,Finance Minister Sharma must resign,TRUE
4869,POLITICS,Nepali Congress announces nationwide protest programmes against govt,,OnlineKhabar,2018-07-17,none,Nepali Congress announces nationwide protest programmes against govt,TRUE
4870,POLITICS,"As Dahal tightens grip on the party, he tells rivals to support him or face the music",,HimalPost,2021-03-21,entity_swap,"As Oli tightens grip on the party, he tells rivals to support him or face the music",Fake
4871,POLITICS,Supreme Court tells govt to 'rescue' Nepalis who are at risk abroad,,OnlineKhabar,2020-04-16,none,Supreme Court tells govt to 'rescue' Nepalis who are at risk abroad,TRUE
4872,POLITICS,Parliamentary hearing process for new Chief Justice begins,,OnlineKhabar,2018-07-12,none,Parliamentary hearing process for new Chief Justice begins,TRUE
4873,POLITICAL,Human Rights Watch accuses Israel of war crimes during Gaza war,,Setopati,2021-07-27,none,Human Rights Watch accuses Israel of war crimes during Gaza war,TRUE
4874,POLITICS,NC statute amendment,,OnlineKhabar,2018-10-03,none,NC statute amendment,TRUE
4875,POLITICS,Dahal to meet Deuba today over Cabinet reshuffle speculations,,OnlineKhabar,2017-10-16,none,Dahal to meet Deuba today over Cabinet reshuffle speculations,TRUE
4876,POLITICS,"In a midnight drama, Nepal President dissolves House and calls polls for November 12 and 19",,Kathmandu Post,2021-05-22,none,"In a midnight drama, Nepal President dissolves House and calls polls for November 12 and 19",TRUE
4877,POLITICS,"As Maoists discuss leadership change, some espy chance",,Kathmandu Post,2023-08-11,none,"As Maoists discuss leadership change, some espy chance",TRUE
4878,POLITICAL,Ruling coalition to field NC's Uddhav Thapa as CM candidate in Koshi,,Setopati,2023-07-03,none,Ruling coalition to field NC's Uddhav Thapa as CM candidate in Koshi,TRUE
4879,POLITICS,Parties stall House over citizenship bill's authentication,,Kathmandu Post,2023-06-05,none,Parties stall House over citizenship bill's authentication,TRUE
4880,POLITICS,Uprendra Yadav proposes Nepali Congress for poll partnership again,,OnlineKhabar,2017-11-17,none,Uprendra Yadav proposes Nepali Congress for poll partnership again,TRUE
4881,POLITICAL,50-50 chance of split in JSP,,Setopati,2022-06-29,none,50-50 chance of split in JSP,TRUE
4882,POLITICS,Kathmandu braces for Republic Day showdown,,Kathmandu Post,2025-05-29,none,Kathmandu braces for Republic Day showdown,TRUE
4883,POLITICS,Ghising-backed 'Ujyaalo Nepal Party' set to register with Election Commission,,Kathmandu Post,2025-11-11,none,Ghising-backed 'Ujyaalo Nepal Party' set to register with Election Commission,TRUE
4884,POLITICAL,US judge refuses to extradite Mumbai terrorist attack suspect to India,,Setopati,2021-06-25,none,US judge refuses to extradite Mumbai terrorist attack suspect to India,TRUE
4885,POLITICS,"Maoist Centre to discuss amended statute, NSU crisis in CWC meeting",,NepalVoice,2019-02-06,entity_swap,"Nepali Congress to discuss amended statute, NSU crisis in CWC meeting",Fake
4886,POLITICAL,"Finland, Sweden apply for NATO membership",,Setopati,2022-05-18,none,"Finland, Sweden apply for NATO membership",TRUE
4887,POLITICAL,Balen Shah moves SC against Election Commission's fine for not submitting expenditure details in time,,Setopati,2023-01-03,none,Balen Shah moves SC against Election Commission's fine for not submitting expenditure details in time,TRUE
4888,POLITICS,Maoist Centre goes to convention to retain Nepal as party chair,,NepalAlert,2021-12-26,entity_swap,Maoist Centre goes to convention to retain Dahal as party chair,Fake
4889,POLITICS,Janmat Party expands its central committee,,NepalVoice,2023-02-14,entity_swap,Rastriya Swatantra Party expands its central committee,Fake
4890,POLITICAL,Maoist continues to lead PR vote count with 26.77%; Unified Socialist still below threshold,,NepalVoice,2022-11-30,entity_swap,UML continues to lead PR vote count with 26.77%; Unified Socialist still below threshold,Fake
4891,POLITICS,Nepali Congress race hotting up as party braces for November convention,,Kathmandu Post,2021-09-13,none,Nepali Congress race hotting up as party braces for November convention,TRUE
4892,POLITICAL,"NC to move central office to Chyasal, monthly rent Rs 300,000",,PahariTribune,2022-04-18,entity_swap,"UML to move central office to Chyasal, monthly rent Rs 300,000",Fake
4893,POLITICAL,SC moved demanding Rabi Balen not be sworn in as HoR member,,RastraNews,2022-12-14,entity_swap,SC moved demanding Rabi Lamichhane not be sworn in as HoR member,Fake
4894,POLITICAL,CIB submits investigation report about Baluwatar land grab without arresting any defendant,,Setopati,2022-01-06,none,CIB submits investigation report about Baluwatar land grab without arresting any defendant,TRUE
4895,POLITICAL,"Govt appoints Mahesh Thapa, Lila Devi Gadtaula as chairs of transitional justice commissions",,Setopati,2025-05-14,none,"Govt appoints Mahesh Thapa, Lila Devi Gadtaula as chairs of transitional justice commissions",TRUE
4896,POLITICS,NC takes wait and see approach after coalition's attempt to impeach Rana,,NepalPulse,2022-02-14,entity_swap,UML takes wait and see approach after coalition's attempt to impeach Rana,Fake
4897,POLITICS,President Bhandari to head to India on Monday,,OnlineKhabar,2017-04-12,none,President Bhandari to head to India on Monday,TRUE
4898,POLITICAL,North Korea says it tested new long-range cruise missiles,,Setopati,2021-09-13,none,North Korea says it tested new long-range cruise missiles,TRUE
4899,POLITICS,Unified Socialist to hold general convention from January 28,,Kathmandu Post,2023-09-15,none,Unified Socialist to hold general convention from January 28,TRUE
4900,POLITICAL,Deuba files candidacy as he seeks third term as UML chairman (Pictures),,PahariTribune,2025-12-15,entity_swap,Oli files candidacy as he seeks third term as UML chairman (Pictures),Fake
4901,POLITICS,Maoist Centre student wing heading towards split,,HimalayaTribune,2017-12-31,entity_swap,Nepali Congress student wing heading towards split,Fake
4902,POLITICAL,"Dahal, Oli discuss Cabinet expansion",,Setopati,2023-01-12,none,"Dahal, Oli discuss Cabinet expansion",TRUE
4903,POLITICS,Madhav Oli wants govt to revoke decision about not bearing cost of Covid-19 treatment,,HimalayaTribune,2020-10-20,entity_swap,Madhav Nepal wants govt to revoke decision about not bearing cost of Covid-19 treatment,Fake
4904,POLITICS,Ruling coalition agrees to go to polls jointly under electoral alliance,,Kathmandu Post,2022-08-05,none,Ruling coalition agrees to go to polls jointly under electoral alliance,TRUE
4905,POLITICS,"As feud deepens, Congress leaders fear a party split",,Kathmandu Post,2025-11-25,none,"As feud deepens, Congress leaders fear a party split",TRUE
4906,POLITICAL,Why are more women elected through PR system?,,Setopati,2022-09-19,none,Why are more women elected through PR system?,TRUE
4907,POLITICAL,We're going to Sheetal Niwas to make Deuba PM with support of 166 lawmakers,,KathmanduTimes,2022-12-25,entity_swap,We're going to Sheetal Niwas to make Dahal PM with support of 166 lawmakers,Fake
4908,POLITICAL,SC grants appointment of Uddhav Thapa as Koshi CM,,GorkhaPost,2023-07-27,minimal_inversion,SC revokes appointment of Uddhav Thapa as Koshi CM,Fake
4909,POLITICS,Dahal keen to rope in RSP as coalition partners dither,,Kathmandu Post,2023-05-02,none,Dahal keen to rope in RSP as coalition partners dither,TRUE
4910,POLITICAL,SC issues show-cause order in former Maoist lawmakers' petition demanding House reinstatement,,PahariTribune,2025-12-17,entity_swap,SC issues show-cause order in former NC lawmakers' petition demanding House reinstatement,Fake
4911,POLITICS,Forum-Deuba urges President to enact National Assembly ordinance,,YetiNews,2017-12-24,entity_swap,Forum-Nepal urges President to enact National Assembly ordinance,Fake
4912,POLITICAL,National Assembly picks three members for Parliamentary Hearing Committee,,Setopati,2023-04-26,none,National Assembly picks three members for Parliamentary Hearing Committee,TRUE
4913,POLITICAL,"Don't dissolve House, it may create vacuum",,Setopati,2025-09-11,none,"Don't dissolve House, it may create vacuum",TRUE
4914,POLITICS,Oli accuses govt of protecting Pant murder guilty,,GorkhaPost,2018-08-26,entity_swap,Deuba accuses govt of protecting Pant murder guilty,Fake
4915,POLITICAL,US left Bagram Airfield at night without telling new Afghan commander,,Setopati,2021-07-06,none,US left Bagram Airfield at night without telling new Afghan commander,TRUE
4916,POLITICS,"Weeks after the government declared the Communist Party of Nepal a criminal outfit on March 12, Prime Minister KP Sharma Dahal said the Netra Bikram Cha",,YetiNews,2019-07-15,entity_swap,"Weeks after the government declared the Communist Party of Nepal a criminal outfit on March 12, Prim",Fake
4917,POLITICS,"Nepali Congress discipline panel receives complaints against Deuba, Koirala",,OnlineKhabar,2019-08-02,none,"Nepali Congress discipline panel receives complaints against Deuba, Koirala",TRUE
4918,POLITICS,Nepal Covid-19: Govt appeals to people in 14 districts to avoid crowds,,OnlineKhabar,2021-04-15,none,Nepal Covid-19: Govt appeals to people in 14 districts to avoid crowds,TRUE
4919,POLITICS,"Federalism a means to finish off Oli, says Chitra Bahadur KC",,HimalayaTribune,2017-01-10,entity_swap,"Federalism a means to finish off Nepal, says Chitra Bahadur KC",Fake
4920,POLITICS,Oli likely to block Gautam's journey to National Assembly,,OnlineKhabar,2020-02-27,none,Oli likely to block Gautam's journey to National Assembly,TRUE
4921,POLITICS,Prime Minister Dahal's India visit deferred until May,,Kathmandu Post,2023-04-16,none,Prime Minister Dahal's India visit deferred until May,TRUE
4922,POLITICAL,Government expands mandate of inquiry commission on Gen Z movement,,Setopati,2025-12-11,none,Government expands mandate of inquiry commission on Gen Z movement,TRUE
4923,POLITICS,Yogesh Bhattarai likely to lead Parliamentary Hearing Special Committee,,OnlineKhabar,2018-07-08,none,Yogesh Bhattarai likely to lead Parliamentary Hearing Special Committee,TRUE
4924,POLITICAL,Lamichhane Shah wants to contest election against KP Oli from Jhapa,,KathmanduExpress,2025-12-23,entity_swap,Balen Shah wants to contest election against KP Oli from Jhapa,Fake
4925,POLITICAL,SC doesn't hear case against Dahal in lack of time,,Setopati,2023-03-09,none,SC doesn't hear case against Dahal in lack of time,TRUE
4926,POLITICAL,Ajaya Bhadra Nepal appointed PM Karki's chief advisor,,KathmanduTimes,2025-09-28,entity_swap,Ajaya Bhadra Khanal appointed PM Karki's chief advisor,Fake
4927,POLITICAL,Rabi Balen acquires Nepali citizenship,,PahariTribune,2023-01-29,entity_swap,Rabi Lamichhane acquires Nepali citizenship,Fake
4928,POLITICS,"Can't accept 240 constituencies, form delineation panel immediately",,OnlineKhabar,2017-07-16,none,"Can't accept 240 constituencies, form delineation panel immediately",TRUE
4929,POLITICAL,Agitating teachers end protest after deal with government,,Setopati,2023-09-22,none,Agitating teachers end protest after deal with government,TRUE
